,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
91,49,1,77443,7th-8th,4,4,8,1,2,1,0,0,20,39,0
92,33,4,176410,Masters,14,2,10,5,4,0,5178,0,10,39,1
93,59,1,98984,Bachelors,13,0,1,1,4,1,0,0,40,39,0
94,34,4,198751,Masters,14,4,8,1,0,1,0,0,40,39,0
95,20,4,479296,HS-grad,9,4,6,3,4,1,0,0,40,39,0
96,25,4,235218,Bachelors,13,4,4,3,4,0,0,0,40,39,0
97,49,4,164877,10th,6,2,5,0,4,1,0,0,40,39,0
98,59,4,272087,HS-grad,9,2,14,0,4,1,0,0,40,39,1
99,20,4,169699,HS-grad,9,4,1,1,4,0,0,0,40,39,0
100,51,0,189762,Some-college,10,2,0,5,4,0,0,0,18,39,0
101,33,4,202191,Some-college,10,4,1,4,2,0,0,0,35,39,0
102,22,4,212261,Some-college,10,4,14,3,2,1,0,0,39,39,0
103,58,6,301568,9th,5,6,8,1,4,0,0,0,40,39,0
104,52,2,155233,HS-grad,9,6,1,4,4,0,0,0,28,39,0
105,36,4,75826,10th,6,5,7,1,4,0,0,0,40,39,0
106,41,2,201520,HS-grad,9,2,11,0,4,1,0,0,40,39,0
107,28,4,154236,HS-grad,9,4,14,3,4,1,2597,0,40,39,0
108,19,4,289227,Some-college,10,4,6,3,2,1,0,0,16,39,0
109,18,4,217439,HS-grad,9,4,8,1,4,0,0,0,28,39,0
110,18,4,179020,HS-grad,9,4,7,3,4,0,0,0,48,39,0
111,28,4,149624,Some-college,10,2,3,0,4,1,0,0,40,39,0
112,29,4,337266,Assoc-voc,11,2,4,0,4,1,0,0,40,39,1
113,20,0,30796,HS-grad,9,4,0,3,4,0,0,0,20,39,0
114,40,4,103541,Some-college,10,2,6,0,4,1,0,0,40,39,0
115,26,4,206721,HS-grad,9,4,6,4,4,1,0,0,40,39,0
116,46,4,96773,HS-grad,9,2,3,0,4,1,0,0,40,39,0
117,23,4,200967,11th,7,4,8,1,4,0,0,0,24,39,0
118,44,4,180019,HS-grad,9,3,1,4,4,0,0,0,40,39,0
119,43,4,179866,Bachelors,13,0,12,4,4,0,0,0,40,39,1
120,31,2,198770,Bachelors,13,0,10,4,4,0,0,0,60,39,0
121,18,4,219256,Some-college,10,4,12,3,4,0,0,0,25,39,0
122,19,4,248730,Some-college,10,4,11,3,4,1,0,0,30,39,0
123,41,4,110732,Some-college,10,0,13,1,4,0,0,0,40,39,0
124,41,4,181020,HS-grad,9,0,6,4,4,0,0,0,40,39,0
125,69,4,183791,HS-grad,9,0,1,1,4,0,0,0,25,39,0
126,48,1,42972,Doctorate,16,2,10,5,4,0,0,0,40,39,1
127,28,4,134813,HS-grad,9,4,10,3,4,1,0,0,40,39,0
128,27,6,115438,HS-grad,9,2,3,0,4,1,0,0,60,21,1
129,41,4,239296,Masters,14,2,10,0,4,1,0,2415,50,39,1
130,41,4,428420,Some-college,10,2,1,0,4,1,0,0,40,39,0
131,24,4,247846,HS-grad,9,4,3,4,2,0,0,0,40,39,0
132,20,0,334105,HS-grad,9,4,0,1,4,0,0,0,40,39,0
133,42,5,100793,Doctorate,16,2,10,0,4,1,0,0,41,39,1
134,57,4,244478,HS-grad,9,2,3,0,2,1,0,0,48,39,0
135,30,4,142921,Assoc-acdm,12,4,10,1,4,0,0,0,40,39,0
136,36,4,182863,HS-grad,9,2,12,0,4,1,0,0,60,39,1
137,49,4,171128,7th-8th,4,2,7,0,2,1,0,0,40,39,0
138,33,4,145402,HS-grad,9,2,7,5,4,0,0,0,35,39,0
139,23,4,306309,10th,6,2,5,0,4,1,0,0,40,39,0
140,46,4,83822,Masters,14,2,10,0,4,1,0,0,40,39,0
141,18,4,262118,Some-college,10,4,1,3,1,0,0,0,22,11,0
142,40,4,155972,HS-grad,9,2,4,0,4,1,7688,0,55,39,1
143,43,5,214503,HS-grad,9,2,4,0,4,1,0,1887,45,39,1
144,34,4,159303,Masters,14,4,10,3,4,0,0,0,30,39,0
145,47,6,174995,HS-grad,9,6,4,1,4,0,0,0,30,39,0
146,44,4,26669,Assoc-voc,11,6,4,4,4,0,0,0,30,39,0
147,33,4,177727,HS-grad,9,2,12,0,4,1,0,0,40,39,1
148,55,4,124771,Bachelors,13,2,4,0,4,1,15024,0,50,39,1
149,19,4,456736,HS-grad,9,4,12,1,4,1,2907,0,30,39,0
150,28,4,216604,Some-college,10,4,8,1,2,1,0,0,14,39,0
151,27,4,221561,11th,7,2,8,5,2,0,0,0,32,39,0
152,50,4,114564,7th-8th,4,2,7,0,4,1,0,0,20,39,0
153,22,4,315476,11th,7,4,3,4,4,1,0,0,40,39,0
154,40,7,67874,Bachelors,13,2,1,0,4,1,0,1887,45,39,1
155,25,4,126110,Some-college,10,4,1,3,4,0,0,0,40,39,0
156,26,2,102264,HS-grad,9,4,3,1,4,1,0,0,40,39,0
157,22,4,537222,Bachelors,13,4,12,1,4,1,0,0,25,39,0
158,42,4,113732,Some-college,10,4,6,4,2,0,0,625,40,39,0
159,38,5,93225,Bachelors,13,0,4,1,4,1,0,0,40,39,0
160,55,4,43064,11th,7,2,8,0,4,1,0,0,30,39,0
161,32,4,136921,HS-grad,9,2,12,0,4,1,0,0,40,39,0
162,22,4,388885,HS-grad,9,2,3,0,4,1,0,0,45,39,0
163,29,4,142249,Bachelors,13,4,12,3,4,1,0,0,40,39,0
164,46,7,56841,Masters,14,2,4,0,4,1,0,0,45,39,1
165,31,4,156493,Some-college,10,2,4,0,4,1,0,0,40,39,1
166,58,6,159021,Doctorate,16,2,10,0,4,1,0,0,16,39,1
167,42,4,190910,HS-grad,9,2,3,0,4,1,0,0,45,39,0
168,18,4,41879,HS-grad,9,4,6,4,4,1,0,0,25,39,0
169,58,2,137249,HS-grad,9,0,4,1,4,1,0,0,33,39,0
170,54,4,236157,HS-grad,9,2,10,0,4,1,0,1887,40,39,1
171,34,4,189759,Masters,14,4,10,1,4,1,0,0,40,39,0
172,26,4,239877,Bachelors,13,4,1,1,4,0,0,0,40,39,0
173,61,4,21175,12th,8,2,4,0,4,1,0,0,60,39,0
174,48,2,67229,Masters,14,5,1,4,2,0,0,0,40,39,0
175,36,4,236391,Some-college,10,2,4,0,4,1,0,0,45,39,1
176,24,4,325596,Assoc-voc,11,2,7,0,4,1,0,0,45,39,0
177,40,4,83411,Some-college,10,2,7,0,4,1,0,0,37,39,0
178,33,5,154227,HS-grad,9,2,12,0,4,1,0,0,50,39,1
179,37,4,248010,Some-college,10,2,7,0,4,1,0,1887,40,39,1
180,34,4,198613,Masters,14,4,4,3,4,1,4650,0,40,39,0
181,56,5,321529,Some-college,10,2,4,0,4,1,15024,0,40,39,1
182,28,0,168524,HS-grad,9,2,0,3,4,0,0,0,38,39,1
183,37,4,203079,Bachelors,13,6,4,1,4,0,0,0,55,39,0
184,44,4,284652,HS-grad,9,0,12,4,2,0,0,0,40,39,0
185,64,0,201368,Some-college,10,2,0,0,4,1,0,0,8,39,0
186,54,4,59840,HS-grad,9,0,6,1,4,1,0,0,45,39,0
187,23,4,52753,HS-grad,9,4,7,1,4,1,0,0,50,39,0
188,34,7,513100,Bachelors,13,3,5,1,2,1,0,0,40,0,0
189,22,4,199266,HS-grad,9,4,8,1,4,0,0,0,45,39,0
190,33,4,196385,Bachelors,13,2,4,0,4,1,0,1977,40,39,1
191,39,4,163205,Bachelors,13,5,10,1,4,1,0,0,50,39,1
192,47,4,411047,Some-college,10,0,1,1,2,0,0,0,37,39,0
193,79,0,48574,7th-8th,4,6,0,1,4,1,0,0,40,39,0
194,26,4,209440,HS-grad,9,4,10,4,2,0,0,0,55,39,0
195,31,4,56964,Some-college,10,0,4,4,4,0,0,0,40,39,0
196,44,4,299197,Some-college,10,4,14,1,4,1,0,0,45,39,0
197,42,5,240628,Prof-school,15,2,10,5,4,0,0,0,50,39,1
198,19,4,355313,HS-grad,9,4,7,1,4,0,0,0,40,39,0
199,27,4,132267,HS-grad,9,2,6,0,4,1,0,0,40,39,1
200,51,2,174861,Some-college,10,2,11,0,4,1,0,0,40,39,1
201,28,5,142443,Bachelors,13,2,4,0,4,1,0,0,50,39,0
202,57,4,26716,Bachelors,13,0,3,1,4,1,0,0,45,39,0
203,45,2,185588,Bachelors,13,0,10,4,4,0,0,0,40,39,0
204,50,4,175029,Assoc-voc,11,2,10,0,4,1,0,0,40,39,1
205,34,5,34848,Bachelors,13,2,12,0,4,1,0,0,54,39,0
206,45,4,411273,7th-8th,4,2,3,0,2,1,0,0,40,39,0
207,73,2,143437,HS-grad,9,2,4,0,4,1,0,0,20,39,0
208,34,4,357145,Bachelors,13,2,10,5,4,0,0,0,50,39,1
209,31,4,236861,Some-college,10,2,12,0,4,1,0,0,55,39,1
210,19,4,53355,11th,7,4,12,1,4,1,0,0,12,39,0
211,25,4,29106,Some-college,10,4,8,3,4,0,0,0,50,39,0
212,38,1,213274,Assoc-voc,11,0,3,4,4,0,6497,0,40,39,0
213,39,4,22463,Bachelors,13,2,14,0,4,1,0,0,40,39,0
214,23,4,180497,Bachelors,13,4,13,3,2,0,0,0,32,39,0
215,49,4,37306,HS-grad,9,2,7,0,4,1,0,0,40,39,0
216,33,1,137814,HS-grad,9,4,8,1,4,1,0,0,32,39,0
217,21,4,447488,5th-6th,3,4,7,2,4,1,0,0,38,26,0
218,31,4,220915,Assoc-voc,11,5,3,1,4,1,0,0,40,39,0
219,23,4,42251,Bachelors,13,4,4,1,4,0,0,0,45,39,0
220,34,4,162312,Bachelors,13,2,1,0,1,1,0,0,40,30,0
221,25,4,77698,HS-grad,9,4,7,1,1,0,0,0,40,30,0
222,39,4,282951,HS-grad,9,4,3,4,4,1,0,0,40,39,0
223,52,5,311259,HS-grad,9,2,12,0,4,1,0,0,40,39,1
224,63,2,65479,9th,5,2,14,0,4,1,7688,0,40,39,1
225,41,4,277256,Some-college,10,2,3,0,4,1,0,0,40,39,0
226,46,4,312088,Bachelors,13,2,10,0,4,1,15024,0,38,39,1
227,53,2,169719,HS-grad,9,2,4,0,4,1,0,0,40,39,0
228,25,0,270276,9th,5,5,0,1,4,0,1055,0,40,39,0
229,77,0,172744,Some-college,10,2,0,0,4,1,0,0,35,39,0
230,18,4,96869,12th,8,4,9,3,4,1,0,0,40,39,0
231,38,4,237943,Prof-school,15,2,10,0,4,1,0,0,50,39,0
232,55,4,119751,Masters,14,4,4,4,1,0,0,0,50,37,0
233,34,4,236861,HS-grad,9,2,13,0,4,1,0,0,40,39,1
234,80,6,201092,HS-grad,9,2,8,0,4,1,0,0,30,39,0
235,34,4,147215,Assoc-voc,11,0,13,4,4,0,0,0,60,39,0
236,52,4,152373,Some-college,10,2,13,0,4,1,5013,0,40,39,0
237,42,4,227968,HS-grad,9,4,8,4,2,0,0,0,28,14,0
238,26,4,362617,Some-college,10,4,12,1,4,0,0,0,40,39,0
239,31,4,103435,HS-grad,9,2,14,0,4,1,0,0,40,39,0
240,25,2,281412,HS-grad,9,4,8,3,4,0,0,0,35,39,0
241,55,6,105239,HS-grad,9,2,3,0,4,1,0,2057,60,39,0
242,19,4,230165,Some-college,10,4,8,3,4,0,0,0,12,39,0
243,62,6,177493,Some-college,10,2,14,0,4,1,0,0,32,39,0
244,22,1,104443,Some-college,10,4,1,3,4,0,0,0,20,39,0
245,39,0,110342,HS-grad,9,2,0,5,4,0,0,0,50,39,0
246,35,4,143385,HS-grad,9,2,6,0,4,1,0,0,40,39,0
247,28,4,107189,HS-grad,9,2,12,3,4,0,0,0,40,39,0
248,47,4,212944,HS-grad,9,2,14,0,4,1,0,0,70,39,1
249,44,7,138634,HS-grad,9,2,7,0,4,1,0,0,40,39,0
250,21,4,99970,Some-college,10,4,12,3,4,1,0,0,15,39,0
251,35,4,203717,Assoc-voc,11,4,3,1,4,1,0,0,50,39,0
252,24,4,313956,Bachelors,13,2,10,0,4,1,0,0,40,39,1
253,42,1,177937,Bachelors,13,4,10,1,4,1,0,0,40,0,0
254,28,4,193868,Bachelors,13,4,13,3,4,1,0,0,50,39,0
255,21,4,250939,Some-college,10,4,7,2,4,1,0,0,35,39,0
256,62,1,57629,Some-college,10,0,13,1,2,1,4650,0,40,39,0
257,39,4,281768,HS-grad,9,4,8,1,2,0,0,0,40,39,0
258,30,7,260782,HS-grad,9,4,8,1,4,1,0,0,40,39,0
259,72,6,243769,Prof-school,15,4,10,1,4,1,0,1429,20,39,0
260,50,4,109937,Some-college,10,2,4,5,4,0,0,0,50,39,0
261,28,2,134890,Masters,14,4,10,1,4,1,0,0,40,39,0
262,29,4,100293,Some-college,10,4,10,1,4,0,0,0,40,39,0
263,26,4,132179,Bachelors,13,4,1,3,4,0,0,0,40,39,0
264,27,4,116372,Masters,14,4,4,1,4,0,0,0,40,39,0
265,29,4,255412,Some-college,10,2,6,0,4,1,3103,0,40,39,1
266,61,0,195789,HS-grad,9,2,0,0,4,1,0,0,40,39,0
267,29,4,342400,10th,6,2,3,0,4,1,0,0,25,39,0
268,21,0,65481,Some-college,10,4,0,3,4,0,0,0,30,39,0
269,31,4,169085,11th,7,2,12,5,4,0,0,0,20,39,0
270,25,4,177221,HS-grad,9,2,4,0,4,1,0,0,75,39,0
271,58,4,65325,10th,6,2,14,0,4,1,0,0,40,39,1
272,64,4,118944,Some-college,10,2,4,5,4,0,0,0,40,39,1
273,46,7,149337,Masters,14,4,4,1,4,1,0,0,38,39,0
274,53,0,237868,HS-grad,9,2,0,0,4,1,0,0,35,39,1
275,19,4,106183,HS-grad,9,4,8,3,0,0,0,0,35,39,0
276,42,4,226388,HS-grad,9,0,8,1,2,1,0,0,52,39,0
277,18,4,220754,11th,7,4,6,3,4,1,0,0,24,39,0
278,58,5,204021,Bachelors,13,2,3,0,4,1,15024,0,50,39,1
279,20,4,347391,Some-college,10,4,11,1,2,1,0,0,60,39,0
280,35,1,413930,HS-grad,9,2,3,0,4,1,0,0,40,39,1
281,32,4,174201,HS-grad,9,2,6,0,4,1,0,0,38,39,1
282,23,4,145917,HS-grad,9,4,6,1,4,0,0,0,25,39,0
283,31,4,241797,Some-college,10,0,13,4,4,0,0,0,40,39,0
284,33,4,265168,Bachelors,13,2,12,0,2,1,0,0,55,39,0
285,41,4,171234,Some-college,10,4,7,1,4,0,0,0,48,39,0
286,22,4,178452,HS-grad,9,4,7,3,2,1,0,0,40,39,0
287,46,4,157857,Some-college,10,2,11,0,4,1,0,0,40,39,1
288,61,1,512864,Some-college,10,2,14,0,2,1,0,0,40,39,0
289,30,4,296462,HS-grad,9,4,4,1,2,1,0,0,40,39,0
290,42,4,171615,HS-grad,9,2,4,0,4,1,0,0,55,39,1
291,63,4,214071,10th,6,2,6,0,4,1,0,0,40,39,0
292,26,4,172421,Some-college,10,2,12,0,4,1,0,0,40,39,0
293,42,4,195488,10th,6,0,1,4,4,0,0,0,40,39,0
294,23,4,316841,Some-college,10,2,8,0,4,1,0,0,40,39,0
295,25,4,236267,HS-grad,9,4,7,4,4,1,0,1590,40,39,0
296,30,4,236543,9th,5,2,8,0,4,1,0,0,32,8,1
297,23,4,318483,HS-grad,9,4,12,3,4,1,0,0,40,39,0
298,34,6,163756,Assoc-voc,11,4,5,1,4,1,27828,0,60,39,1
299,30,4,238186,HS-grad,9,2,7,2,4,1,0,2057,48,39,0
300,39,4,329980,Some-college,10,2,3,0,4,1,0,0,40,39,1
301,30,4,169269,11th,7,4,6,2,4,1,0,1721,38,33,0
302,38,2,34744,Some-college,10,0,1,4,4,0,0,0,38,39,0
303,26,4,98114,HS-grad,9,0,4,3,4,0,0,0,40,39,0
304,20,4,109667,Some-college,10,4,6,3,4,1,0,0,16,39,0
305,37,2,263690,Bachelors,13,4,10,4,2,1,0,0,40,0,0
306,33,4,147430,HS-grad,9,2,1,3,4,0,0,0,40,39,0
307,24,4,224238,Bachelors,13,4,1,3,4,1,0,0,40,39,0
308,42,5,212894,Bachelors,13,2,4,0,4,1,0,0,60,39,1
309,51,6,136708,HS-grad,9,2,12,0,1,1,3103,0,84,40,0
310,56,2,38573,Assoc-acdm,12,2,13,0,4,1,0,0,45,39,1
311,22,4,197200,Some-college,10,4,6,3,4,1,0,0,40,39,0
312,52,6,182796,Some-college,10,2,5,0,4,1,0,0,60,39,0
313,44,4,184527,Bachelors,13,0,4,4,4,0,4934,0,45,39,1
314,34,4,145231,HS-grad,9,2,1,5,4,0,4064,0,35,39,0
315,51,4,43354,Some-college,10,0,3,1,4,1,0,0,42,39,1
316,20,0,318865,Some-college,10,4,0,1,4,1,0,0,40,39,0
317,19,4,355712,Some-college,10,4,12,1,4,0,0,0,25,39,0
318,37,4,98776,Bachelors,13,2,4,0,4,1,0,0,40,39,1
319,68,4,257557,HS-grad,9,2,7,0,2,1,0,0,40,39,1
320,22,4,102258,Some-college,10,0,11,1,4,1,0,0,40,39,0
321,56,5,170287,Bachelors,13,2,4,0,4,1,0,0,40,39,0
322,37,4,243409,HS-grad,9,2,3,0,4,1,0,0,40,39,0
323,52,4,55608,1st-4th,2,2,7,0,4,1,0,0,40,26,0
324,26,4,248057,HS-grad,9,5,6,3,4,1,0,0,40,33,0
325,33,4,95530,Masters,14,2,10,0,4,1,0,0,50,39,0
326,45,2,54038,Masters,14,0,10,4,4,0,0,0,42,39,0
327,18,4,161245,11th,7,4,8,3,4,1,0,0,15,39,0
328,43,6,388725,Some-college,10,2,5,0,4,1,0,0,60,39,1
329,64,6,71807,Doctorate,16,2,10,0,4,1,15024,0,50,0,1
330,18,4,228216,HS-grad,9,4,6,3,4,1,0,0,20,39,0
331,20,0,303121,Some-college,10,4,0,3,4,1,0,0,45,39,0
332,57,4,78020,HS-grad,9,2,3,0,4,1,0,0,40,39,1
333,41,4,249254,HS-grad,9,0,1,4,4,0,3674,0,42,39,0
334,34,4,87218,Masters,14,2,4,0,4,1,0,1887,50,39,1
335,19,4,304299,HS-grad,9,4,12,4,4,0,0,0,40,39,0
336,44,4,196234,9th,5,0,8,4,4,0,0,0,55,6,0
337,56,4,197875,10th,6,6,8,4,4,0,0,0,40,39,0
338,36,5,48063,HS-grad,9,2,5,0,4,1,0,0,80,39,0
339,48,4,253596,Bachelors,13,0,4,4,4,0,0,0,48,39,0
340,29,4,39257,HS-grad,9,2,14,0,4,1,0,0,40,39,1
341,33,4,56150,Bachelors,13,4,3,1,4,1,2174,0,40,39,0
342,31,4,179415,5th-6th,3,2,8,0,4,1,0,0,40,26,0
343,39,4,252445,Masters,14,2,10,0,4,1,0,0,45,39,1
344,66,4,275918,HS-grad,9,2,4,0,4,1,10605,0,40,39,1
345,27,4,106562,Bachelors,13,4,10,1,4,0,0,0,50,39,1
346,39,4,198654,HS-grad,9,0,4,4,2,0,99999,0,40,39,1
347,59,4,107318,7th-8th,4,2,3,0,4,1,5178,0,50,39,1
348,26,4,181896,HS-grad,9,4,8,3,4,0,0,0,40,39,0
349,31,4,106014,Assoc-voc,11,0,3,4,4,1,0,0,40,39,0
350,45,0,319993,HS-grad,9,6,0,4,4,0,0,0,40,26,0
351,23,4,197997,HS-grad,9,4,6,3,4,1,0,0,30,39,0
352,36,2,173542,HS-grad,9,0,1,4,4,0,0,0,40,39,0
353,34,4,207564,Some-college,10,2,8,5,4,0,0,0,12,39,1
354,32,4,224462,HS-grad,9,2,14,0,4,1,0,0,84,39,1
355,37,4,123361,Bachelors,13,2,10,0,2,1,0,0,50,39,1
356,33,4,90409,Bachelors,13,4,12,1,4,1,0,0,45,39,0
357,50,6,165001,Prof-school,15,2,10,0,4,1,99999,0,80,39,1
358,32,1,149573,Assoc-acdm,12,4,11,1,2,1,0,0,40,39,0
359,35,4,249456,Bachelors,13,4,1,3,2,0,0,0,40,39,0
360,37,4,149898,11th,7,2,3,0,4,1,0,0,40,39,0
361,44,4,292985,Some-college,10,0,3,1,4,1,0,0,60,39,0
362,57,4,50223,Some-college,10,0,6,2,4,1,0,0,25,39,0
363,29,2,400074,Some-college,10,2,4,3,4,0,0,0,40,39,0
364,55,4,197399,HS-grad,9,2,3,0,4,1,0,0,50,39,1
365,43,5,209547,Prof-school,15,2,10,0,4,1,0,0,25,39,1
366,43,4,52433,Some-college,10,2,12,0,4,1,0,0,70,39,0
367,45,6,355978,Some-college,10,2,12,0,4,1,0,0,60,39,1
368,33,6,48214,Masters,14,2,10,5,4,0,0,0,8,39,0
369,26,4,190873,10th,6,0,8,4,4,0,0,0,40,11,0
370,23,4,278390,Some-college,10,2,12,0,4,1,0,0,68,39,0
371,41,4,203217,7th-8th,4,5,3,1,4,1,0,0,40,26,0
372,24,4,279175,HS-grad,9,2,3,0,4,1,0,0,40,39,0
373,47,6,194590,Bachelors,13,2,12,0,4,1,0,0,44,39,0
374,34,6,198813,HS-grad,9,4,3,3,4,1,0,0,45,39,0
375,40,4,187294,HS-grad,9,2,4,0,4,1,0,0,40,39,1
376,28,4,302903,Bachelors,13,2,10,5,1,0,0,1485,40,39,0
377,24,4,154835,HS-grad,9,4,4,3,1,0,0,0,40,35,0
